icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e80478,1753550901,SKBO,1753570215,SBGR,ARE4907 ,830.0,49.0,8211,286,1,2
e8043c,1753545991,SAEZ,1753569951,SBGR,LAN742  ,853.0,12.0,8709,317,2,2
e4925f,1753565241,SBBR,1753569773,SBGR,TAM3256 ,2337.0,176.0,9102,324,1,2
e486c2,1753550980,SBFZ,1753569658,SBGR,TAM3491 ,492.0,35.0,8761,317,1,2
e49914,1753566119,,1753569517,SBGR,PSASF   ,,,8288,309,0,2
e49bfd,1753559599,,1753569408,SBGR,TAM8099 ,,,8384,302,0,2
e485b0,1753564419,,1753569122,SBGR,TAM4716 ,,,8314,286,0,2
e4a125,1753564456,,1753568920,SBGR,TAM4603 ,,,8395,302,0,2
e4924a,1753566222,SBGL,1753568783,SBGR,TAM3349 ,2619.0,8.0,9097,332,1,2
e48620,1753566271,SDIN,1753568689,SBGR,PTPVH   ,9634.0,1858.0,7800,271,1,2
e8046d,1753541772,KMIA,1753568537,SBGR,TAM8195 ,3503.0,104.0,8534,309,1,2
e4a12b,1753566244,,1753568425,SBGR,TAM3305 ,,,8023,286,0,2
e48baa,1753530968,LEBL,1753568236,SBGR,TAM8115 ,2902.0,324.0,9391,355,0,2
e49c05,1753551450,SBFZ,1753568143,SBGR,TAM4555 ,971.0,13.0,8014,286,1,2
4952a7,1753534189,LPPT,1753567878,SBGR,TAP089  ,2542.0,213.0,9412,363,2,2
e49764,1753551139,SBFZ,1753567457,SBGR,TAM4787 ,1006.0,13.0,9169,340,1,2
e494f7,1753556340,,1753566486,SBGR,AZU2724 ,,,7874,279,0,2
c080dd,1753559036,SAEZ,1753566250,SBGR,ACA091  ,897.0,43.0,9051,332,2,2
e47f21,1753557608,,1753565967,SBGR,LTG6577 ,,,8189,294,0,2
e8024a,1753561095,,1753565838,SBGR,LAN754  ,,,8087,286,0,2
e06443,1753557210,SABE,1753564948,SBGR,ARG1246 ,727.0,5.0,8060,286,0,2
e48053,1753563171,,1753564727,SBGR,TAM3637 ,,,8677,324,0,2
e495fb,1753561893,SBGL,1753564601,SBGR,GLO1147 ,2559.0,39.0,8222,294,1,2
e8032a,1753557505,,1753564526,SBGR,SKU602  ,,,7855,279,0,2
e491b0,1753559688,SBBR,1753564174,SBGR,TAM3262 ,1943.0,92.0,8500,294,1,2
4bb0f6,1753516883,LTFM,1753564091,SBGR,THY15   ,11247.0,632.0,7615,263,0,2
e4997c,1753562220,,1753563914,SBGR,TAM4663 ,,,7599,263,0,2
e082d6,1753555790,,1753563676,SBGR,ARG1258 ,,,8439,309,0,2
e48808,1753551971,SBFZ,1753563507,SBGR,TAM3883 ,918.0,35.0,8189,286,1,2
e49bfe,1753561927,,1753563312,SBGR,TAM3351 ,,,7546,263,0,2
e80456,1753558564,,1753562968,SBGR,LAN750  ,,,9206,340,0,2
896475,1753509468,OMDB,1753562698,SBGR,UAE261  ,7430.0,484.0,9183,355,0,2
347206,1753526203,LEMD,1753562488,SBGR,IBE0271 ,6709.0,137.0,9166,355,1,2
e49ef4,1753559375,,1753561529,SBGR,GLO7487 ,,,7800,271,0,2
e48135,1753559430,,1753561424,SBGR,TAM3823 ,,,7871,271,0,2
e48273,1753553263,SABE,1753561096,SBGR,TAM8143 ,898.0,9.0,8368,302,0,2
e94c42,1753542604,SLLJ,1753560964,SBGR,BOV734  ,8518.0,1995.0,7818,271,0,2
e48fcb,1753555237,SBBR,1753560099,SBGR,TAM3528 ,1948.0,99.0,7891,271,1,2
39cf06,1753519471,LFPG,1753559946,SBGR,AFR460  ,2112.0,215.0,7716,279,3,2
e48f0e,1753556717,SDKB,1753559727,SBGR,PRWIR   ,6674.0,1418.0,7485,363,2,2
e49050,1753558410,,1753559519,SBGR,AZU6073 ,,,9472,370,0,2
4caeb8,1753516422,LIRF,1753559359,SBGR,ITY678  ,1741.0,140.0,7798,279,0,2
e80441,1753552171,,1753558995,SBGR,LAN752  ,,,8108,279,0,2
e48199,1753549206,SBIZ,1753558882,SBGR,TAM4502 ,1763.0,195.0,8126,294,2,2
e49890,1753556529,,1753558669,SBGR,GLO9151 ,,,7909,279,0,2
e495db,1753551575,,1753558589,SBGR,TAM4759 ,,,7839,286,0,2
