icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
e80267,ARE4907 ,Chile,1786574223,1786574223,-56.8711,-14.0526,10675.62,False,241.54,134.83,0.33,,11369.04,,False,0
e80272,LPE2415 ,Chile,1786574223,1786574223,-54.8243,-20.9644,10980.42,False,201.95,291.99,0.0,,11628.12,,False,0
e80211,LPE2935 ,Chile,1786574200,1786574204,-46.4942,-23.4407,754.38,False,83.18,73.47,-3.9,,807.72,,False,0
e49ec9,AZU4312 ,Brazil,1786574045,1786574045,-40.488,-9.6421,11582.4,False,241.34,199.94,0.0,,12329.16,,False,0
e49eec,GLO1319 ,Brazil,1786574224,1786574224,-46.6237,-22.3247,8831.58,False,207.92,199.06,-16.26,,9387.84,,False,0
e49ef4,GLO2007 ,Brazil,1786574224,1786574224,-44.4225,-20.8184,11582.4,False,237.83,155.6,0.0,,12260.58,,False,0
e0b254,ARG1499 ,Argentina,1786574119,1786574120,-61.5378,-31.9162,11277.6,False,265.7,147.17,-0.33,,11597.64,,False,0
e49ed5,TAM8081 ,Brazil,1786574223,1786574223,-46.6707,-23.4504,1737.36,False,117.35,120.27,-4.88,,1844.04,,False,0
e48c4c,TAM3256 ,Brazil,1786574223,1786574223,-46.3429,-22.8579,4587.24,False,157.49,238.49,0.65,,4884.42,,False,0
3c4b32,DLH511  ,Germany,1786574223,1786574223,-40.1765,-18.3724,9433.56,False,271.18,28.56,0.0,,10050.78,,False,0
e49f5a,AZU2800 ,Brazil,1786574213,1786574220,-50.3667,-27.2841,11719.56,False,236.1,27.79,1.63,,12268.2,,False,0
e49f59,AZU2643 ,Brazil,1786574223,1786574223,-44.9584,-21.2696,9448.8,False,227.73,31.61,-0.33,,10020.3,,False,0
e0b14c,LVKEL   ,Argentina,1786574197,1786574201,-59.4333,-33.2985,11536.68,False,183.25,328.9,4.23,,11849.1,1751,False,0
e48b66,TAM3019 ,Brazil,1786574223,1786574224,-47.0425,-22.8574,5212.08,False,179.68,212.37,-11.7,,5547.36,,False,0
e48b4f,AZU4794 ,Brazil,1786574223,1786574223,-48.1651,-22.206,5181.6,False,135.37,136.54,0.0,,5486.4,,False,0
e4a5b1,PSMGD   ,Brazil,1786574223,1786574223,-46.4323,-23.5151,937.26,False,62.16,259.99,-0.33,,982.98,,False,0
e80042,SKU611  ,Chile,1786574223,1786574223,-46.8531,-24.1219,8275.32,False,212.36,216.93,5.53,,8763.0,,False,0
e48a20,PREBB   ,Brazil,1786574082,1786574082,-47.8382,-20.914,1371.6,False,56.18,344.05,0.0,,1440.18,,False,0
e4a4b8,PSGLB   ,Brazil,1786574219,1786574222,-46.7429,-23.5926,922.02,False,37.56,216.09,-0.33,,990.6,,False,0
e49d22,AZU2974 ,Brazil,1786574223,1786574223,-40.5268,-17.749,10043.16,False,226.6,60.93,-2.93,,10690.86,,False,0
e4a549,GLO2176 ,Brazil,1786574174,1786574174,-43.2796,-22.802,83.82,False,74.81,125.77,-3.9,,129.54,,False,0
e4a50d,TAM3643 ,Brazil,1786574220,1786574220,-40.2812,-20.264,,True,0.0,171.56,,,,,False,0
e4a50e,TAM4645 ,Brazil,1786574223,1786574223,-47.1002,-23.2754,3581.4,False,153.86,168.43,-7.48,,3794.76,,False,0
e49bfc,TAM8175 ,Brazil,1786574198,1786574221,-50.6179,-27.8008,11269.98,False,247.16,32.76,0.0,,11818.62,,False,0
344345,IBE3271 ,Spain,1786574224,1786574224,-46.2738,-22.7102,4808.22,False,176.28,188.39,-2.93,,5097.78,,False,0
e200fd,E558    ,Argentina,1786574223,1786574223,-64.2928,-31.4217,769.62,False,30.42,71.26,-1.63,,845.82,,False,0
e49c8f,,Brazil,1786574214,1786574215,-46.8665,-23.1399,1203.96,False,115.4,86.93,-0.33,,1287.78,,False,0
e49c5a,TAM3699 ,Brazil,1786573990,1786573992,-46.493,-23.4404,746.76,False,76.18,73.52,-3.58,,800.1,,False,0
e47e7e,GLO1039 ,Brazil,1786574223,1786574223,-45.7123,-23.8129,7757.16,False,179.32,266.71,-5.2,,8214.36,,False,0
e80613,JAT761  ,Chile,1786574223,1786574223,-46.3861,-24.5844,9753.6,False,207.31,242.67,0.0,,10302.24,,False,0
e80618,JES3109 ,Chile,1786574223,1786574223,-62.5906,-32.4035,9319.26,False,260.97,127.95,4.55,,9578.34,,False,0
e8061d,JES3146 ,Chile,1786574223,1786574223,-58.3437,-33.1087,9448.8,False,207.36,358.86,0.0,,9753.6,1761,False,0
345318,IBE0127 ,Spain,1786574207,1786574207,-68.0416,-2.8114,11574.78,False,229.69,222.91,0.0,,12359.64,,False,0
4bb0e7,THY15   ,Turkey,1786574222,1786574223,-46.3233,-23.4115,1767.84,False,155.05,112.23,12.35,,1874.52,,False,0
e48fcb,TAM3982 ,Brazil,1786574223,1786574223,-38.5372,-3.7789,,True,0.0,284.06,,,,,False,0
e48fb4,GLO1284 ,Brazil,1786574220,1786574220,-49.4489,-27.4766,11582.4,False,211.17,213.57,0.0,,12138.66,,False,0
e06611,ARG1789 ,Argentina,1786574223,1786574223,-58.6282,-33.1269,9959.34,False,234.7,185.66,-10.73,,10279.38,2126,False,0
e0658f,ARG1580 ,Argentina,1786574223,1786574223,-64.3951,-30.401,8778.24,False,219.46,347.82,6.5,,9037.32,,False,0
e48f38,AZU6175 ,Brazil,1786574223,1786574223,-47.2034,-20.4096,4244.34,False,112.85,42.78,1.3,,4488.18,,False,0
e80491,TAM8068 ,Chile,1786574223,1786574223,-42.5723,-21.2838,10058.4,False,276.94,38.89,0.0,,10660.38,,False,0
e80490,LAN066  ,Chile,1786573927,1786573958,-70.9149,-33.2764,2125.98,False,116.64,352.91,-6.5,,2194.56,,False,0
e48f6b,AZU4083 ,Brazil,1786574224,1786574224,-49.9585,-26.8908,4556.76,False,145.37,13.3,-0.65,,4792.98,,False,0
e80455,,Chile,1786574212,1786574212,-70.8007,-33.4211,754.38,False,97.3,177.88,5.53,,754.38,,False,0
e80450,LAN714  ,Chile,1786574223,1786574223,-64.6422,-30.8847,11879.58,False,264.94,61.59,0.0,,12199.62,,False,0
e8044b,LAN707  ,Chile,1786574204,1786574204,-57.7464,-20.2194,12192.0,False,235.21,219.85,-0.33,,12900.66,,False,0
e80462,LAN771  ,Chile,1786574223,1786574223,-49.7229,-26.095,10980.42,False,200.4,243.96,0.0,,11551.92,,False,0
e80475,TAM8075 ,Chile,1786574222,1786574222,-45.2569,-21.1113,12184.38,False,227.7,216.46,0.0,,12870.18,,False,0
e48f12,TAM3964 ,Brazil,1786574223,1786574223,-48.6326,-21.7569,7924.8,False,194.17,311.89,-1.63,,8427.72,,False,0
e06491,ARG1766 ,Argentina,1786574224,1786574224,-55.3119,-26.5866,6598.92,False,185.52,216.2,-9.1,,6957.06,,False,0
e48db2,GLO1130 ,Brazil,1786574223,1786574223,-48.3392,-23.5575,9753.6,False,207.77,250.62,0.0,,10325.1,,False,0
e48df6,TAM8195 ,Brazil,1786574223,1786574223,-46.7057,-22.894,4023.36,False,158.9,155.92,-7.8,,4274.82,,False,0
e48e0a,GLO1387 ,Brazil,1786574222,1786574223,-44.96,-23.032,10363.2,False,206.63,248.23,0.0,,10965.18,,False,0
e48e88,AZU6509 ,Brazil,1786574224,1786574224,-46.7552,-23.5226,1623.06,False,113.04,57.83,-7.8,,1729.74,,False,0
e48e94,GLO1350 ,Brazil,1786574217,1786574223,-42.4783,-22.2164,7620.0,False,209.4,57.95,0.0,,8069.58,,False,0
e80335,SKU1256 ,Chile,1786574223,1786574223,-71.0003,-33.2326,5737.86,False,175.28,352.75,5.2,,5875.02,,False,0
e8033f,SKU630  ,Chile,1786574224,1786574224,-48.8852,-27.7392,2979.42,False,180.84,105.34,-7.8,,3124.2,,False,0
e49fcc,PSZPN   ,Brazil,1786574221,1786574221,-40.3514,-9.2688,13106.4,False,203.59,199.95,0.0,,13883.64,,False,0
e49fb6,AZU2668 ,Brazil,1786574223,1786574223,-46.7562,-23.3541,5166.36,False,188.08,128.78,10.73,,5463.54,,False,0
